id,name,is_published,created_at,updated_at,priority
19,"Государственные и муниципальные организации",0,"2003-06-04 18:20:27","2013-04-24 13:47:49",0
20,"Каталог СРО",1,"2003-06-04 18:20:27","2013-05-29 13:00:05",0
21,"Департамент градостроительной политики города Москвы",0,"2011-04-01 14:06:39","2013-05-28 17:06:50",0
23,"Департамент строительства города Москвы",0,"2011-04-01 14:23:12","2013-05-28 17:06:46",0
25,Мосгосстройнадзор,0,"2012-05-03 16:00:08","2013-05-28 17:06:41",0
27,Москомархитектура,0,"2012-05-03 15:42:34","2013-05-28 17:06:44",0
29,Москомстройинвест,0,"2012-05-03 16:25:09","2013-05-28 17:06:39",0
31,Москомэкспертиза,0,"2012-05-03 16:33:37","2013-05-28 17:06:37",0
33,"Справочник организаций",1,"2003-06-02 10:38:50","2013-05-29 12:57:58",0
34,"Департамент развития новых территорий города Москвы",0,"2013-04-24 13:55:26","2013-05-28 17:06:29",0
35,"Справочник Комплекса градостроительной политики и строительства города Москвы",1,"2013-05-28 15:27:11","2013-11-26 01:50:39",100